metric_id,metric_name,metric_startdate,metric_enddate,hora,demanda,entidad,fecha_hora,dia,mes,trimestre,anio,dia_semana,es_festivo,es_fin_de_semana
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,16,10986006.09,Sistema,2025-11-21 16:00:00,21,11,4,2025,4,False,False
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,17,11001357.17,Sistema,2025-11-21 17:00:00,21,11,4,2025,4,False,False
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,18,11503449.07,Sistema,2025-11-21 18:00:00,21,11,4,2025,4,False,False
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,19,11387341.38,Sistema,2025-11-21 19:00:00,21,11,4,2025,4,False,False
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,20,11089927.46,Sistema,2025-11-21 20:00:00,21,11,4,2025,4,False,False
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,21,10589166.82,Sistema,2025-11-21 21:00:00,21,11,4,2025,4,False,False
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,22,10003219.03,Sistema,2025-11-21 22:00:00,21,11,4,2025,4,False,False
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,23,9467521.74,Sistema,2025-11-21 23:00:00,21,11,4,2025,4,False,False
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,0,8989293.59,Sistema,2025-11-22 00:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,1,8649976.81,Sistema,2025-11-22 01:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,2,8410103.36,Sistema,2025-11-22 02:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,3,8302363.16,Sistema,2025-11-22 03:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,4,8302769.41,Sistema,2025-11-22 04:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,5,8376196.73,Sistema,2025-11-22 05:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,6,8590171.58,Sistema,2025-11-22 06:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,7,9063742.24,Sistema,2025-11-22 07:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,8,9523047.34,Sistema,2025-11-22 08:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,9,9858516.97,Sistema,2025-11-22 09:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,10,10154165.02,Sistema,2025-11-22 10:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,11,10374357.46,Sistema,2025-11-22 11:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,12,10340106.34,Sistema,2025-11-22 12:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,13,10246415.49,Sistema,2025-11-22 13:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,14,10218343.29,Sistema,2025-11-22 14:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,15,10214189.09,Sistema,2025-11-22 15:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,16,10157258.71,Sistema,2025-11-22 16:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,17,10357612.93,Sistema,2025-11-22 17:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,18,10972509.48,Sistema,2025-11-22 18:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,19,10871478.9,Sistema,2025-11-22 19:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,20,10549961.61,Sistema,2025-11-22 20:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,21,10125575.58,Sistema,2025-11-22 21:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,22,9622865.54,Sistema,2025-11-22 22:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,23,9126870.7,Sistema,2025-11-22 23:00:00,22,11,4,2025,5,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,0,8710088.57,Sistema,2025-11-23 00:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,1,8400305.89,Sistema,2025-11-23 01:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,2,8187113.96,Sistema,2025-11-23 02:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,3,7979372.92,Sistema,2025-11-23 03:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,4,7890717.8,Sistema,2025-11-23 04:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,5,7793650.47,Sistema,2025-11-23 05:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,6,7632328.1,Sistema,2025-11-23 06:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,7,7843929.28,Sistema,2025-11-23 07:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,8,8133138.95,Sistema,2025-11-23 08:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,9,8420567.55,Sistema,2025-11-23 09:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,10,8686460.36,Sistema,2025-11-23 10:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,11,8955992.76,Sistema,2025-11-23 11:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,12,9053424.76,Sistema,2025-11-23 12:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,13,9118389.48,Sistema,2025-11-23 13:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,14,9095868.03,Sistema,2025-11-23 14:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,15,9110698.75,Sistema,2025-11-23 15:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,16,9119948.55,Sistema,2025-11-23 16:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,17,9463395.02,Sistema,2025-11-23 17:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,18,10184545.8,Sistema,2025-11-23 18:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,19,10252790.76,Sistema,2025-11-23 19:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,20,10078088.74,Sistema,2025-11-23 20:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,21,9771301.88,Sistema,2025-11-23 21:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,22,9332151.03,Sistema,2025-11-23 22:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,23,8893784.83,Sistema,2025-11-23 23:00:00,23,11,4,2025,6,False,True
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,0,8521088.62,Sistema,2025-11-24 00:00:00,24,11,4,2025,0,False,False
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,1,8246995.8,Sistema,2025-11-24 01:00:00,24,11,4,2025,0,False,False
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,2,8059346.03,Sistema,2025-11-24 02:00:00,24,11,4,2025,0,False,False
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,3,7999663.31,Sistema,2025-11-24 03:00:00,24,11,4,2025,0,False,False
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,4,8168107.27,Sistema,2025-11-24 04:00:00,24,11,4,2025,0,False,False
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,5,8554028.87,Sistema,2025-11-24 05:00:00,24,11,4,2025,0,False,False
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,6,8849747.77,Sistema,2025-11-24 06:00:00,24,11,4,2025,0,False,False
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,7,9450186.64,Sistema,2025-11-24 07:00:00,24,11,4,2025,0,False,False
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,8,9939436.12,Sistema,2025-11-24 08:00:00,24,11,4,2025,0,False,False
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,9,10195059.85,Sistema,2025-11-24 09:00:00,24,11,4,2025,0,False,False
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,10,10452582.72,Sistema,2025-11-24 10:00:00,24,11,4,2025,0,False,False
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,11,10798549.9,Sistema,2025-11-24 11:00:00,24,11,4,2025,0,False,False
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,12,10734831.34,Sistema,2025-11-24 12:00:00,24,11,4,2025,0,False,False
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,13,10835200.27,Sistema,2025-11-24 13:00:00,24,11,4,2025,0,False,False
DemaReal,Demanda Real por Sistema,2025-10-27T00:00:00,2025-11-26T00:00:00,14,10986499.91,Sistema,2025-11-24 14:00:00,24,11,4,2025,0,False,False
