modelo,mae,rmse,mape,r2
Prophet,867795.9278920015,980318.5873054886,9.04232987774019,0.20667854669090435
Random Forest,63212.371114117836,90545.86414545031,0.657517614152436,0.9932321307439177
XGBoost,55193.698037478214,75944.83582698432,0.5758888699129909,0.9952388570644802
