fecha_hora,real,modelo,prediccion,escenario
2025-03-23 11:00:00,8673017.75,Prophet,8894677.449368445,historical
2025-03-23 12:00:00,8865229.31,Prophet,9030866.583910933,historical
2025-03-23 13:00:00,8898559.11,Prophet,9084743.500831427,historical
2025-03-23 14:00:00,8865664.83,Prophet,9045308.1718222,historical
2025-03-23 15:00:00,8833422.8,Prophet,8963106.864901368,historical
2025-03-23 16:00:00,8785969.4,Prophet,8942042.335774872,historical
2025-03-23 17:00:00,8845646.36,Prophet,9059381.299482156,historical
2025-03-23 18:00:00,9501308.06,Prophet,9279417.64823132,historical
2025-03-23 19:00:00,9775033.23,Prophet,9447954.19610611,historical
2025-03-23 20:00:00,9703366.61,Prophet,9390041.068941794,historical
2025-03-23 21:00:00,9495654.22,Prophet,9038824.697001768,historical
2025-03-23 22:00:00,9153370.07,Prophet,8488987.704570968,historical
2025-03-23 23:00:00,8694838.48,Prophet,7930055.765794178,historical
2025-03-24 00:00:00,8251220.99,Prophet,7517831.208877018,historical
2025-03-24 01:00:00,7959462.45,Prophet,7291741.322052541,historical
2025-03-24 02:00:00,7733900.1,Prophet,7197857.701120106,historical
2025-03-24 03:00:00,7586030.2,Prophet,7179593.696218229,historical
2025-03-24 04:00:00,7514715.08,Prophet,7243065.988483503,historical
2025-03-24 05:00:00,7507843.64,Prophet,7439716.53277415,historical
2025-03-24 06:00:00,7373133.34,Prophet,7794603.108029635,historical
2025-03-24 07:00:00,7674217.24,Prophet,8258979.820692617,historical
2025-03-24 08:00:00,8077104.09,Prophet,8734574.710216602,historical
2025-03-24 09:00:00,8450771.12,Prophet,9141242.558879385,historical
2025-03-24 10:00:00,8798037.96,Prophet,9458426.9441183,historical
2025-03-24 11:00:00,9133256.63,Prophet,9704068.609916301,historical
2025-03-24 12:00:00,9280173.93,Prophet,9883998.824599529,historical
2025-03-24 13:00:00,9281373.93,Prophet,9975474.975022199,historical
2025-03-24 14:00:00,9258688.98,Prophet,9967320.848799648,historical
2025-03-24 15:00:00,9262613.37,Prophet,9909967.10685882,historical
2025-03-24 16:00:00,9253877.55,Prophet,9907262.029319692,historical
2025-03-24 17:00:00,9278743.97,Prophet,10036478.869741898,historical
2025-03-24 18:00:00,10052020.24,Prophet,10261978.288836103,historical
2025-03-24 19:00:00,10499546.0,Prophet,10429688.66119143,historical
2025-03-24 20:00:00,10343418.45,Prophet,10364842.393875636,historical
2025-03-24 21:00:00,9978674.83,Prophet,10000822.24253127,historical
2025-03-24 22:00:00,9452004.7,Prophet,9432597.95406883,historical
2025-03-24 23:00:00,8872746.4,Prophet,8850029.346969992,historical
2025-03-25 00:00:00,8462898.82,Prophet,8409295.658774152,historical
2025-03-25 01:00:00,8140022.46,Prophet,8150239.167487326,historical
2025-03-25 02:00:00,7984768.51,Prophet,8019379.484468205,historical
2025-03-25 03:00:00,7898663.68,Prophet,7960605.638512974,historical
2025-03-25 04:00:00,8073890.96,Prophet,7980532.046978121,historical
2025-03-25 05:00:00,8524415.01,Prophet,8131114.6780666,historical
2025-03-25 06:00:00,8637455.47,Prophet,8437935.715171056,historical
2025-03-25 07:00:00,9083101.52,Prophet,8852778.138806617,historical
2025-03-25 08:00:00,9531501.31,Prophet,9277897.445765773,historical
2025-03-25 09:00:00,9814004.67,Prophet,9633668.676617602,historical
2025-03-25 10:00:00,10185706.91,Prophet,9900042.857287727,historical
2025-03-25 11:00:00,10555367.08,Prophet,10095449.996407459,historical
2025-03-25 12:00:00,10568128.56,Prophet,10226187.367418896,historical
2025-03-25 13:00:00,10689679.1,Prophet,10269950.38241676,historical
2025-03-25 14:00:00,10936258.94,Prophet,10215968.562644897,historical
2025-03-25 15:00:00,10995267.72,Prophet,10115042.154852385,historical
2025-03-25 16:00:00,10864543.57,Prophet,10071349.517913284,historical
2025-03-25 17:00:00,10641591.07,Prophet,10162451.649669776,historical
2025-03-25 18:00:00,11159008.66,Prophet,10352952.352951946,historical
2025-03-25 19:00:00,11371449.29,Prophet,10488976.855323369,historical
2025-03-25 20:00:00,11087267.85,Prophet,10395907.034908988,historical
2025-03-25 21:00:00,10568651.05,Prophet,10007227.243715627,historical
2025-03-25 22:00:00,9877024.75,Prophet,9417961.056290017,historical
2025-03-25 23:00:00,9230911.43,Prophet,8817975.045247484,historical
2025-03-26 00:00:00,8718999.01,Prophet,8363409.397788006,historical
2025-03-26 01:00:00,8442918.75,Prophet,8094023.355262257,historical
2025-03-26 02:00:00,8228866.98,Prophet,7956211.844413552,historical
2025-03-26 03:00:00,8113459.32,Prophet,7893700.382926753,historical
2025-03-26 04:00:00,8267151.54,Prophet,7912904.313023062,historical
2025-03-26 05:00:00,8771627.4,Prophet,8065548.619768492,historical
2025-03-26 06:00:00,8862455.95,Prophet,8376956.592811052,historical
2025-03-26 07:00:00,9201122.69,Prophet,8798628.691202404,historical
2025-03-26 08:00:00,9640634.87,Prophet,9232518.771462897,historical
2025-03-26 09:00:00,9874145.61,Prophet,9598685.788699212,historical
2025-03-26 10:00:00,10248827.8,Prophet,9876755.01298763,historical
2025-03-26 11:00:00,10564518.14,Prophet,10084825.838892471,historical
2025-03-26 12:00:00,10495815.3,Prophet,10228864.85301055,historical
2025-03-26 13:00:00,10617397.7,Prophet,10286241.403420141,historical
2025-03-26 14:00:00,10827740.8,Prophet,10245868.114508795,historical
2025-03-26 15:00:00,10854937.66,Prophet,10158241.837316036,historical
2025-03-26 16:00:00,10720504.88,Prophet,10127255.104137378,historical
2025-03-26 17:00:00,10495685.02,Prophet,10230204.40523359,historical
2025-03-26 18:00:00,10959770.82,Prophet,10431453.739582354,historical
2025-03-26 19:00:00,11266796.7,Prophet,10576916.211755216,historical
2025-03-26 20:00:00,11044188.29,Prophet,10491791.791077115,historical
2025-03-26 21:00:00,10463825.9,Prophet,10109415.194006462,historical
2025-03-26 22:00:00,9809807.77,Prophet,9524694.19383787,historical
2025-03-26 23:00:00,9192840.15,Prophet,8927414.442436863,historical
2025-03-27 00:00:00,8691602.58,Prophet,8473670.607561743,historical
2025-03-27 01:00:00,8401981.46,Prophet,8203211.8056536,historical
2025-03-27 02:00:00,8206165.03,Prophet,8062457.70262149,historical
2025-03-27 03:00:00,8143201.94,Prophet,7995192.376351644,historical
2025-03-27 04:00:00,8308226.86,Prophet,8007922.0131066535,historical
2025-03-27 05:00:00,8589807.89,Prophet,8152492.719181994,historical
